accessory_ID,name,original_price,category,current_price,discount,avg_rating,cover_link
258369953,Set 4 thiệp chúc mừng sinh nhật SDstationery OCEAN 12x12 màu pastel nhẹ nhàng minh họa dễ thương cute cho người yêu biển,92000,Thiệp,92000,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/7b/68/9f/0a05cacf1e323cf22120b1e0a80ed128.jpg
154248010,Tờ nhãn dán họa tiết hoa cỏ tươi tắn sticker dùng để trang trí sổ tay Lalunavn -A15,6900,Sticker,6900,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/08/d0/88/64d38413d97db6f16d88872a33125bb2.jpg
276031407,Bộ 5 Sticker Hình Lá Cờ Việt Nam - HFP 3,7500,Sticker,7500,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/ef/b6/e7/612101c17368754da3a7c11d14a90ce1.jpg
71923563,Bộ Nhãn Dán Sticker 5THEWAY aka /first drop of the year/ STICKER SET,50000,Sticker,50000,0.0,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/d3/b0/9f/7b89f98aba7ec5e25aa52a1bfb607448.png
2612871,Bộ 10 Bookmark song ngữ truyền cảm hứng đọc sách FuSuSu,70000,Bookmark,70000,0.0,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/61/b8/a1/7269a3a6df31f686659fa3a40fac650b.png
187001113,"Giấy bọc sách vở / Giấy gói quà / giấy bao tập / giấy bao vở học sinh, sinh viên size A4, B5, A5 cao cấp – 24 cuốn",88000,Bọc sách,88000,0.0,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/18/5a/e4/5c89e4443803ffe5ab82b6ddfce3bf7f.jpg
185410021,Set Decal Bọc Sách Vở Dán Bìa Trong Suốt Chống Nước Nhiều Kích Cỡ Deli - Bọc SGK Vở Sổ Tay Ghi Chép Truyện Tiều Thuyết - Lưu Trữ Bền Đẹp - 70603 / 70602 / 70601,63000,Bọc sách,38000,0.4,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/5c/53/46/06b24565277c302f2fbfb9b534724e72.png
103120900,Thiệp Time For Cake,19000,Thiệp,19000,0.0,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/71/bc/a7/4b309babc46abbc8fdccad8ed1eb440f.jpg
154854435,Miếng Sticker loại xịn cỡ lớn Laluna hoạt tiết xinh yêu - A14,5900,Sticker,5900,0.0,4.2,https://salt.tikicdn.com/cache/280x280/ts/product/e1/21/42/6fce7ac697267b33e1fd678fcb0743d9.jpg
40983086,Hộp quà đựng nhẫn cao cấp V.1 - Màu đỏ phối trắng,27000,Hộp quà/Túi quà,27000,0.0,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/95/6a/33/5e75106d07aa83668fff74787fcf5653.png
275813605,"Thiệp mừng phụ nữ 8/3, 20/10, SDstationery Dễ Thương Nhiệt Tình, cô gái Nam bộ, chữ nhật 14 x 10,8 cm",31900,Thiệp,31900,0.0,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/68/e3/6d/236add0f70f8fc747fb5db2428a7549c.png
159095219,Cuộn bọc Sách / Bọc Vở nylon Campus NC-BOK-10-3,25000,Bọc sách,25000,0.0,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/ec/e2/48/daba94664105e55634fae135fd4ab10b.jpg
165747262,"Bộ 8 Sticker 3D nhân mã hoạt hình cute, nhãn dán cho ốp lưng điện thoại, bình nước, nón bảo hiểm, giày dép…Giao mẫu ngẫu nhiên",39000,Sticker,39000,0.0,2.6,https://salt.tikicdn.com/cache/280x280/ts/product/78/93/2a/beb67160a9d94584fc68815991c34ab2.png
276825556,"MXNK14 - 16x10x5 cm - 20 hộp carton đóng hàng xếp nhanh có keo niêm phong - Hộp gói hàng, hộp quà",38000,Hộp quà/Túi quà,37600,1.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/2f/47/48/ba36215aee68aa718763f1a9563d7f78.png
278689583,Túi Giấy Blossom - 25 x 22 x 8 cm - The Sun 01,16000,Hộp quà/Túi quà,15800,1.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/d8/0d/cf/101cf87967f44aab5ade1fe90092cde6.jpg
278853677,Túi Giấy Kraft - 33 x 26 cm - Blueangel XIM-OXL1,18000,Hộp quà/Túi quà,17800,1.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/6d/73/67/e7f8d166ef1ff81352915871717485a3.jpg
242693697,Sticker Cảm Ơn - Teenage CTE-044 (5 Tờ),16500,Sticker,16300,1.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/dc/2b/07/f879498d9dbaee1b75263a0454c4bc1c.jpg
273457177,"MCT07 - 9x5.4 cm - 50 Card Thank you, Thiệp cảm ơn khách hàng, card cám ơn cứng cáp sang trọng",25000,Thiệp,18500,0.26,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b8/d7/9c/e76b1deece7de85377ac59b05d20a676.png
279287368,Bộ 10 Decal Dán Bọc Sách A4 - Deli 70603 - Trong Suốt,68600,Bọc sách,50700,0.26,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/0f/fa/be/7a04762464e559f5c352d54e2ced2d90.jpg
277402936,"MSC06 - D2.5 cm - 1 Cuộn 500 sticker thank you tròn, nhãn dán thank you, tem dán cảm ơn",38500,Sticker,28820,0.25,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/74/7f/3c/fbff54fdfa8d3b10fd48167d776ffc1d.png
277343143,"MENG01 - 12x8x4 cm - 20 Hộp carton nắp gài đóng hàng giá rẻ, hộp gói hàng, hộp quà thời trang",44000,Hộp quà/Túi quà,34600,0.21,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/35/cb/4a/d783f11b68a2397797954ffdf70875ef.png
277780058,"Sticker Gia Đình Dễ Thương Cho Bé Thỏa Sức Bóc Dán, Trang Trí Đồ Chơi, Sách Vở Học Tập",20000,Sticker,16400,0.18,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/97/cd/32/0a77efdc5a57c3dd880d33d42a9a00de.png
278894664,Túi Đựng Quà Trơn - 35 x 26 x 12 cm - Màu Cam,28000,Hộp quà/Túi quà,24900,0.11,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/ef/c3/8e/68ce34a394906cfc4594f597e68e1865.jpg
195544296,Bookmark Đánh Dấu Sách (số 24),8000,Bookmark,7200,0.1,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/05/14/1f/2cb828b06ff0bda0feebc2dfa0675d21.jpg
275543253,Sticker Capybara Vui Nhộn - WanLongDa FD81677,37000,Sticker,33300,0.1,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/25/fd/5b/21ba54fcb7f573dad345c5be88b673ae.jpg
276031401,Bộ 5 Sticker Hình Lá Cờ Hàn Quốc - HFP,8500,Sticker,7700,0.09,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/99/16/eb/f8e161b8566af4f36ab8f085b76a8212.jpg
278712395,Bộ 30 Sticker MiniScape 3D - Teenage MS-010,22500,Sticker,20400,0.09,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/7e/7b/ba/4cb0ca2acf75cec184094286ae1a3105.jpg
276825911,"MXNK6 - 25x20x5 cm - 20 hộp carton đóng hàng xếp nhanh có keo niêm phong - Hộp gói hàng, hộp quà",74000,Hộp quà/Túi quà,68000,0.08,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/2f/f2/6e/ba4c5de2367efcda4c8e000e8ac55b51.png
276825603,"MXNK2 - 18x13x6 cm - 20 hộp carton đóng hàng xếp nhanh có keo niêm phong - Hộp gói hàng, hộp quà",54000,Hộp quà/Túi quà,50400,0.07,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b7/fa/50/dc33b959f6ed9603673d5fe6ae1ca272.png
279271314,Túi Giấy Form Cứng Có Nắp - Linh Lan 2 - Mẫu 17,13500,Hộp quà/Túi quà,12600,0.07,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/67/8b/5d/368dc17e1fd42e6c187ba1e1fd616345.jpg
173674416,Túi Đựng Quà 37 x 28 cm Best Wishes - The Sun (Mẫu Bao Bì Giao Ngẫu Nhiên),20500,Hộp quà/Túi quà,19000,0.07,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/64/60/ec/c6db2b38255dff7dbac76d05acfd0315.jpg
279271392,Hộp Quà Vuông Trụ Giấy Đính Nơ Nhỏ - Linh Lan VT1014MI-V3 - Mẫu 14,31000,Hộp quà/Túi quà,29100,0.06,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/ea/5b/57/cb9ecccb170f89428031d94653f029f3.jpg
276825705,"MXNK4 - 20x15x5 cm - 20 hộp carton đóng hàng xếp nhanh có keo niêm phong - Hộp gói hàng, hộp quà",56000,Hộp quà/Túi quà,52600,0.06,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/db/6c/5d/fbea1ada9ddf79010536f1a344f30e3f.png
279271416,Túi Đựng Quà Kraft Dạng Đứng - Size S - Linh Lan - Mẫu 15,7000,Hộp quà/Túi quà,6600,0.06,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/cd/e6/95/cc007106bb62abf3706373dbac8d33ed.jpg
279164871,Túi Giấy Mi Ngang - Size M - Linh Lan - Mẫu 20,12500,Hộp quà/Túi quà,11800,0.06,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/5a/1f/3b/2419c79420640654629d53a2188ab77f.jpg
273916697,Hộp Quà Vuông Nắp Rời Size Nhỏ 15 x 15 cm - Zhe Jang NC06-52,92000,Hộp quà/Túi quà,87400,0.05,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/2a/16/27/8d6792f8bb77aed2b579d1ab9a1efc9e.jpg
23411718,APLI_Sticker Vuông Xanh Dương 20x20_13236,23000,Sticker,21800,0.05,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/57/dc/73/f306bb4fd53393c63406a62056c37def.jpg
242693691,Sticker Cảm Ơn Ánh Kim - Teenage CTE-031 (5 Tờ),30500,Sticker,28900,0.05,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/7d/cb/20/cc2ef8e45cc882a0dee166001ab415b1.jpg
279164829,Túi Giấy Mi Đứng - Size L - Linh Lan - Mẫu 17,14000,Hộp quà/Túi quà,13400,0.04,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b9/ea/2a/99c1551928d07e207ef50c083e669d38.jpg
169380856,"Sticker Mây, Giọt Nước Và Cây - APLI 14605",37000,Sticker,35500,0.04,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/a5/06/9f/a2b1122a043acaac23d0e86096f43197.jpg
277172136,Hộp Quà Kraft Xếp Hình Chữ Nhật - 23 x 17 x 7 cm - Linh Lan,42000,Hộp quà/Túi quà,40700,0.03,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/69/7b/59/013b13f47fcb522dfe29cbb8ea96e278.jpg
276630870,Sticker Cat Journal - The Sun,11000,Sticker,10800,0.02,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/91/8c/08/a82fb105ee756e27fc2efd9e03e9daa0.jpg
278606692,Sticker Hình Lá Cờ Việt Nam - HFP 8,19000,Sticker,18600,0.02,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/d5/05/3c/204ffd60e855f7145f453cfaa429f185.jpg
278567371,Sticker Đa Năng - Teenage CTE-065 - Cuisine,34500,Sticker,33800,0.02,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/5a/78/fb/c65fd7116212ebd24925e7ff2f8255bc.jpg
275942038,Túi Đựng Quà Fo.rest - The Sun - Blueberry,14000,Hộp quà/Túi quà,14000,0.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/51/ee/66/34f100a7ee96145085af61b352597794.jpg
278072573,Túi Giấy Kraft - 22 x 25 x 8 cm - The Sun 10,16000,Hộp quà/Túi quà,16000,0.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/45/f4/80/ab4a694d3499ce0ef147741663741675.jpg
278072575,Túi Giấy Kraft - 22 x 25 x 8 cm - The Sun 07,20000,Hộp quà/Túi quà,20000,0.0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/09/8d/7b/d35247c7e7cbd0548e52c35484621247.jpg
